title,year,metascore,mpaa_rating,runtime_min,genre,director,stars
Matches,,,,,"Comedy, Romance",Jordan Nistico,"Kyle Hendershot, Monty Geer, Brandon Black, Roxy Shabestari"
Heartbreak Hotel,Completed,,,,"Comedy, Drama, Romance",Vishvak Prakkruth,"Kate Brandenburg, Carlo Fiorletta, Anna Reichert, Alexis Daloni"
The Stalker,,,,,"Horror, Mystery, Thriller",John Giorgio,"Troy Fromin, J. Gaven Wilde, Jimmy Ace Lewis, Matthew Ewald"
Dry Winter,Post-production,,,70.0,Drama,Kyle Davis,"Courtney Kelly, Andrew Phillips, Michael Harpas"
Debbaku Tha Dongala Mutha,Post-production,,,138.0,"Comedy, Crime, Thriller",Sudheer Chintalapudi,"Aditi Myakal, Sudheer Chintalapudi, Kireeti Damaraju, Anish Kuruvilla"
Capitol Video,Filming,,,,Comedy,Taylor Thomas,"Jared Michael-Swain, Lauren Maiden, Zoe Irving, Morgan Wenerick"
In 1791,Post-production,,,,"Short, Adventure",Phillip David Collins,"Morgan Crowley, Joshwa Castaneda, Eric Woods"
Cutting Ties,Pre-production,,,,"Short, Thriller",Killian Casey,
The Curse of Hobbes House,Post-production,,,,"Drama, Horror",Juliane Block,"Mhairi Calvey, Makenna Guyler, Waleed Elgadi, Kevin Leslie"
Sex on The Moon: The Movie,Pre-production,,,,Comedy,Nicolás de Jesús,"Elizabeth López, Nicolás de Jesús, Luis Llamas, Javier Tapia"
Serial Dreaming,Announced,,,95.0,Thriller,George Cameron Romero,"Carey Means, Steven P. Hamm"
Another way to make a living,Completed,,,,Drama,André J. Witt,"Lars Nover, Ruben Dietze, Kristin Heil, Marco Schlafke"
The Outhouse the Film (1985-1997),Announced,,,,Documentary,Brad Norman,"Henry Rollins, Lee Ving, Keith Morris, Ian MacKaye"
BabyFace,Filming,,,,"Drama, Horror",Caleb Ham,"Caleb Ham, Elana Dunlap"
Cuddle Buddies,,,,90.0,"Drama, Mystery",Kevin Van Stevenson,"Sara Catherine Bellamy, Holly Blair, Anabella Rainer, Gustavo Cintra"
The Tuna Goddess,Pre-production,,,,Drama,Paul Schuyler,
Ghosts of Cumberland Gap,Pre-production,,,,"Drama, Horror, Thriller",A.J. Rose,"Anna Swiney, Tina Radtke, Samuel Campbell, Rowan Sylvia"
Internet Killed the Video Store,Pre-production,,,,"Documentary, Short, Comedy",Martin Horlacher,"Martin Horlacher, Dale Wesley Johnson-Green, Geoffrey Hooper, Gareth James"
The Sailor,,,,,"Documentary, Short, Biography",Martin Horlacher,"Martin Horlacher, Andrea Pryor, Tim Pryor, Daisy Butler"
In My Shoes,,,,,"Short, Thriller",Allan McCall,"Ryan King, Victoria Crawford, Sage Lawrence, Guardian Michael"
Forbidden Love,,,,,"Drama, Romance",Christopher Bela,
American Desert,Post-production,,,,"Drama, Romance",Adrian Bartol,"Will Brandt, Ruby Modine, Michael Ironside, Amber Viera"
Bracewater,Pre-production,,,,"Crime, Thriller",Jim Morrison,Cynthia Crofoot
Outrage,,,,,"Action, Crime",Sandeep,"Jeff Davis, Larissa Dali, Nelofar Noori, Chaz Taylor"
Cloud Nine or The Importance of Being,Announced,,,,"Drama, Thriller",Ian Adema,
Wishbones,Post-production,,,,Drama,Henry Fox,"Alondra Alvarez, Max Gruber, Aubrie Pache, Quinn Hitchcock"
The Fort,,,,,Drama,Carly-Anne Kenneally,"Eliza Charley, Jess Kenneally, Dean Bills, Liza Dennis"
Dear Diary The Movie,Filming,,,,Drama,Banza Pandora J. Townsend,"Simeon Teague, Lavell Brooks, Jessica Pace, Montez Lafayette"
Crystal Children,Post-production,,,91.0,Drama,John Scarpias,"Lianne Mackessy, Belinda Anderson-Hunt, Alfie Gledhill, Philippe Klaus"
Squeal,Announced,,,,"Comedy, Horror",Cliff McClelland,Tom Zembrod
Recovery,,,,93.0,Drama,John Renney,"Jeremy Hardingham, Izzy Cosgrave, Dan Doddington, Stuart Schmerge"
La Première Méduse,Completed,,,19.0,"Short, Sci-Fi",Sébastien Pesle,"Pascal Voglimacci, Oumar Diolo, Aurélien Péroumal, Lemmy Delamarre"
Lost and Found,,,,,"Horror, Thriller",Kadin Lightel,
Sad Mad Glad,Completed,,,,Comedy,David Velick,"Christina Leidel, Tammy Thomas, Frantz Calixte, Andres Salgado"
The Oval Portrait,Pre-production,,,,"Short, Drama, Horror",Martin Horlacher,"Martin Horlacher, Gareth James"
The Forever Fighter,Pre-production,,,,"Horror, Mystery, Thriller",,"Carma Sharon, Shaun Anthony Robinson, Richard Mutschall, Amelia Foxton"
The Tome,Announced,,,,"Comedy, Horror",Adrian Roman,Scott James
A Primavera é Bonita e Eu Não a Vejo,Post-production,,,18.0,"Short, Drama",Ricardo Peres,"Gabrielle Lopez, Rafael Mallagutti"
Project Q: The Question of Quantum,Filming,,,,Documentary,James Der Derian,
Exuvia,Post-production,,,,Drama,Anthony Harrison,"Katherine Alpen, Rémi-Gaël Panon, Amanda Burke, Kurt Max Runte"
Last Call in the Dog House,,,,91.0,Drama,Bruce Reisman,"Yancy Butler, Parker Stevenson, Judy Geeson, David Chokachi"
Three Mirrors Creature's Flashes of Flesh,Post-production,,,,"Drama, Horror, Sci-Fi",Giuliano Tomassacci,"Michela Bruni, Samantha Abear, Claudio Losavio, Piervito Bonifacio"
Messiah by Handel Through Brian Gibson's Eyes,Filming,,,,"Documentary, Music",Christopher Bela,"Paige Suzanne, George Arnold, Christopher Bela, CoCo"
Back from the Edge,,,,,"Short, Drama, Thriller",Christopher Bela,Laura Mitchell
Blood Oranges,Announced,,,,Drama,,
Stay Inside,,,,90.0,"Horror, Mystery, Thriller",Anthony King,"Christopher Pusch, Karlee Fatone, Jefferson Carvey, Danielle Baxter"
I'M SORRY,Pre-production,,,,"Short, Drama, Mystery",Kalique McMillian,
Wind of Change,Pre-production,,,,"Short, Comedy, Drama",Martin Horlacher,Martin Horlacher
Dream Kiss Cry,Post-production,,,,Drama,Melanie Carlile,"Melanie Del Toro, Ben Brock, Renee Lim, Kathy Luu"
The Candle & the Curse,Post-production,,,,"Adventure, Family, Fantasy",Anuja Ganpule-Sheorey,"Ashwini Ganpule, Hayden Lam, Darnell Rhea, Miles Tagtmeyer"
My Hero Prince Harry,Completed,,,120.0,Drama,Josh Burton,"Victoria Thompson, Josh Burton, Bahoz Othman, Bella Tran"
This Is Your Song,Post-production,,,,"Drama, Romance",Hassan Said,"Joanna Kay, Eve Richards, Marcy Balbas, Edward Hightower"
The Finer Things in Life,Announced,,,,Drama,,"Megan Rach, Nelson Ritthaler, M.A. Doerfler"
Seven Figures,Pre-production,,,,"Action, Crime, Thriller",Nicholas J. Moore,"Lance E. Nichols, Ryan King, Rich Redmond"
Unlawful Goodness,Pre-production,,,90.0,Drama,Changfu Zhang,
Abismo,Post-production,,,,"Adventure, Sci-Fi",Jorge Monsalve,"José Varela, Natalia Ruiz, Noa Lara, Sergio Cardoso"
The Existence,Pre-production,,,,"Horror, Sci-Fi",Buppha Witt,Buppha Witt
After Dark,Filming,,Not Rated,,"Drama, Mystery, Sci-Fi",John Karsko,"Brandon Van Vliet, Nathan Tymoshuk, Briana Patnode, Victor Kirksey-Brown"
Suomi,Post-production,,,47.0,"Drama, Musical",Bruno Ulisse,"Ailín Formia, María Eugenia López, Pablo Gasloli, Federico Grinbank"
Poetry in Motion,Filming,,,,"Short, Comedy, Romance",Martin Horlacher,"Mathilde Anglade, Gil Balfas, Garreth Cruikshank, Martin Horlacher"
Three Miserable Jerks,Pre-production,,,,"Short, Comedy",Nicholas Zebrun,"Nik Braswell, Meagan Harris, Nolan Chapa"
I'm Not Sleeping,Pre-production,,,,"Short, Drama, Fantasy",Martin Horlacher,Martin Horlacher
Cerebrum,Completed,,,,"Sci-Fi, Thriller",Arvi,"James Russo, Alexxis Lemire, Christian James, John Ruby"
Every Night & Every Day,Post-production,,,,Drama,Thomas Zoeschg,"Stephen Howard, Janine Venable, Lisa Roumain, Tim DeZarn"
A.G.I.,Post-production,,,,"Short, Crime, Drama",,"Romika Annabell, Sadyr Diouf, Felipe Osorio, Dalmatian Chloe"
Incubus,,,,,"Horror, Thriller",NoxParr,"Anna Bryan, NoxParr, Rae Lynn Marotto"
Die Die Delta Pi 2: A New Chapter,Announced,,,,"Horror, Mystery, Thriller",Arturo Portillo,"Michelle Martinez, Frank Powers, Sherrie Prose, Jerry Walker"
"What Did You Do in the War, Mama? Kochiyama's Crusaders",Post-production,,,58.0,,Chong Lee,"Ruth Hirose Ishizaki, Rinko Enosaki, Patricia Goto Takeshita, Wesley Cayabyab"
Father,,,,19.0,"Short, Drama",Steven Gekas,"Costas Xikominos, Vasilis Samourkas, Boyko Paskalev"
Chicheka Lullaby,Completed,,,97.0,"Documentary, Biography, Music",Raha Faridi,
Where's the Craic?,Post-production,,,,Documentary,Lori Hakulinen,
Très Mall,Pre-production,,,,"Short, Drama",Derek G. Larson,
When fingers leave no prints,Announced,,,,"Crime, Drama",Alonso Alvarez,
O.N.E.,Post-production,,,,"Short, Sci-Fi",Djason Demassey,"Louis Bernard, Colin Bates, Emma Laurent, Christopher Ramoné"
La Lotería de la Vida: The Lottery of Life,Filming,,,,Documentary,Lexi Hiland,"Lexi Hiland, Kristin Hiland, María Luisa Anteliz, Nora Nicholl"
Found in Eagle Rock,Filming,,,,Drama,Joe Lombard,"June Schreiner, Jack Foley, Jordana Lilly, Tommy Martinez"
Hunger: The Rise of the Blood Moon,Post-production,,,,"Short, Sci-Fi",Di Thomas,"Jared Allman, Jason Louder, Angelo Diaz, Faith Monique"
Darqwethen,Announced,,,,Horror,Ralph Rascon,
Running,,,,,"Short, Drama",Tim Wardell,"Jamison Jones, Matt Munroe, Luca Nicora, Eduardo Covarrubias"
Untitled Holy Terror Prequel,,,,,"Short, Horror",Roderick Loggins,Preston Michael Simpson
Black Boots,Announced,,,,History,Raj Amit Kumar,
Between Two Minds,Completed,,,85.0,Drama,Lynn Neumann,"Daniel Adomian, Lizet Benrey, Luke Kenton-Cashion, Tavius Cortez"
At Your Disposal,Announced,,,,"Short, Drama",Milan Perkins,
Encircled,,,,20.0,"Short, Fantasy, Thriller",Martha Emma Lütge,"George Shafer, Darby Steeves, Joseph Gallaccio, Benjamin Davis"
Duality of Memory,Completed,,,80.0,Drama,Eric Mattson,"Kara Zediker, Guy Wicke, Joanne Dubach, Arch Harmon"
Caroline,,,,,"Short, Drama",Patricia Vidal Delgado,"Rachel Rath, Terrance Keith Richardson, Ron Freedman, Neil Douglas"
Lighter,Completed,,,,Drama,Sarah-Stephanie,"Jennifer K Preston, Brooke Norbury, Jonah Paull, Scarlett Archer"
Hunter's Creed,Post-production,,,,"Drama, Mystery, Thriller",Justin Jackola,"Duane 'Dog' Chapman, Mickey O'Sullivan, Jennifer Jelsema, Wesley Truman Daniel"
Wanderlust,,,,,Drama,Marco Matheus,"Sophia Cadogan, Diogo Jordão, Romika Annabell, Danniel Navarro"
"Cut, Grind and Polish: The Lapidary's Story",Pre-production,,,,"Documentary, Short, Biography",Martin Horlacher,"Martin Horlacher, Eric Stevenson"
The Dream Chaser,Post-production,,,,Documentary,Rahim Handy,"T.I., Rick Ross, Meek Mill, Boosie Badazz"
Brutally Honest Love,Filming,,,120.0,"Drama, Romance",Mark Nunnari,"Louis Cummings, Renée Bourke, Emma Monk, Izaak Love"
The Bull Race,Announced,,,,Action,Livi Zheng,
Control,,,,48.0,Drama,Michael Owen,"Mark Kochanowicz, Seregon O'Dassey, Corrie Graham, Patrick D'Amico"
Louder Than Words,,,,,"Adventure, Comedy",Chadd Stoops,"Chadd Stoops, John Jankow, Tia Cope, Beth Bouchard"
We Are Them,Announced,,,,Sci-Fi,Maribel Bedoya,
Beyond Polaris,Pre-production,,,5.0,"Animation, Short, Sci-Fi",Jawad El Houssine,J.D. Kaye
The Aridity in Clover,Completed,,,,"Short, Drama",Jake Hektoen,"Jake Hektoen, Andre Ezeugwu, Rachael Lutz, Chris Campo"
Lost Seoul,Announced,,,,Drama,Jane Gull,
Not Here,,,,12.0,Short,Sarah Laine Smith,"Beau Wirick, Sarah Laine Smith, Peter Muggleworth"
Across the Ocean,Completed,,,82.0,"Comedy, Drama",Nicole Donadio,"Anna Jaller, Apoorva Bose, Austin Arnold, Muthumani"
Kingdom Come,,,,,"Action, Fantasy, History",,Ali Joumaa
Eternal,,,,11.0,"Short, Fantasy, Music",Pia Banerjee,
Oswald's Dinner,Post-production,,,,Comedy,Shane Patrick McClurg,"Shane Patrick McClurg, Peyton Sikorski, Stuart Payne Ross, DeLaney Hardy"
HOPE,Announced,,,,"Animation, Short",Cesar Sillet,
Sunder,Post-production,,,,"Short, Drama",Caisha Lea Thompson,"Havana Guppy, Syd Castle"
The Wheel,,,,,Drama,Finbar Shepherd,
Dabke,Post-production,,,12.0,"Documentary, Adventure",Dana Itani,
You and Me Are Going to Die Soon,Pre-production,,,,"Drama, Romance",Max Derin,
No More Goodbyes,Filming,,,,"Adventure, Drama, Family",James Ganiere,"Eric Roberts, Sal Velez Jr., Ethan McDowell, Christian Ganiere"
Johny Mechanic,Announced,,,90.0,"Animation, Adventure, Family",Akbar de Wighar,
R.S.V.P,Filming,,,,"Drama, Romance",Sanjeev Mehra,"Bonnie Ferguson, Carma Sharon, Franc Violi, Mohit Kumar"
Stonefish,Announced,,,,"Short, Comedy, Crime",Jordan Semmens,Blake Williams
Once Upon a Time in Britain,Post-production,,,,,Sidney Malik,"Steven Berkoff, Sidney Malik, Mico Saad, Kat Von Kaige"
Terror Among Us,Announced,,,,"Crime, Horror, Mystery",,Lj Ugarte
The Bounty Hunter,Filming,,,,"Drama, Western",Tim Everett,"William Tokarsky, Eric James Morris, P. David Miller, Ben Bladon"
Blue on Blue,,,,,Drama,,
Eli Dancing,Announced,,,,"Short, Comedy, Romance",,
Running Against the Wind,Pre-production,,,20.0,"Short, Drama",Chad S. Bruce,Logan Mooney
Proof,,,,,"Short, Crime, Drama",Martin Horlacher,Martin Horlacher
StoryTeller,Announced,,,,"Short, Adventure",Abbi Cushing,
The Conviction,Announced,,,,"Crime, Drama",Alejandro Monteverde,
TripTik,Post-production,,,,"Comedy, Drama",David Sowden,"Nicholas Zebrun, Andrew Manning, Danielle Yoshiko King"
Chasing Ghosts,Pre-production,,,,"Drama, Horror, Thriller",H.M. Harper,
Debajo de la Cama,Announced,,,165.0,"Adventure, Drama, Fantasy",Nicolás de Jesús,"Brandon de Jesús, Monse Cuevas, Perla Medrano, Ricardo Quesada"
Grey Hood,Post-production,,,15.0,"Short, Drama",Victor Joyner Jr.,"Beau Scheier, Gary Pezzullo, Princess Elmore, Mandy Corbett"
Hullabaloo,Post-production,,,,"Animation, Action, Adventure",James Lopez,"Yuri Lowenthal, Mary Robinette Kowal, G.D. Falksen"
De Serpentis Munere,Completed,,,78.0,"Drama, Mystery, Thriller",Roberto Leoni,"Guglielmo Scilla, Benjamin Stender, Alexandra Dinu, Valentina Reggio"
A Long Weekend,Announced,,,,Horror,,
Rebirth of the Force,Announced,,,30.0,"Documentary, Short",Ezra Hunter,
A Whole New Irving,Announced,,,,Comedy,Terry Dawson,"Bianca Sia, Damon Erik Williams, Phoebe Dorin, Rob Moore"
Les aventures d'archives,Post-production,,,,"Comedy, Crime, Sci-Fi",Tyler Meyer,"Charles Chaplin, Elvis Presley, Walt Disney, Barack Obama"
A Wise Man Once Said...,Announced,,,,"Animation, Short, Comedy",Martin Horlacher,Martin Horlacher
Man in the Sky,Completed,,,5.0,"Animation, Short, Drama",George Marei,Gus Fouad
The Messenger,,,,,"Short, Sci-Fi",Kejleb Demaniow,"Kathleen Pitts, Kejleb Demaniow"
Blind Sighted,Completed,,,16.0,Short,Dustin Alexander III,"Tina Gallo, David Ditmore, Jessica Drew Chastain, Mallorie Lindsey"
She's Not So Ordinary,,,,,Horror,Chris Jackson,"Albert Goikhman, Vicky Wanless, Akal Demir, Maria Tevelis"
Catalyst,,,,,"Crime, Drama, Mystery",Elizabeth Jane Cassidy,"Ryan Ralph Gerrard, Jade-Marie Joseph, Lily Mae McGregor, Jack Bence"
The Sessions,Announced,,,,"Drama, Romance",Bobby Pimentel,"Bobby Pimentel, Tiffany Lefler, Dixie Stamey, Taylor Rodier"
"The Act of Immortality Parts IV, V, VI: Spectacle",Announced,,,,"Short, Biography",SA Morrison,
The Annual,Completed,,,,"Comedy, Sci-Fi",Jordan Norn,"Griffin Cork, Erin Mick, Michael Benjamin Welsh, Caitlin Davidson"
Zero Days Clean,Pre-production,,,,"Action, Thriller",Jamie Darlington,"Mark Moraghan, Tom Hendryk, Christopher Sherwood, Steve Wood"
Hu(mammal) Behavior,Announced,,,,Drama,Scott Hellon,
Abnegate,Post-production,,,,"Comedy, Horror",Rachel Liu,"Hyten Davidson, Amanda Vilanova, Emily Billig, Janice Theard"
Do You Love?,Filming,,,,"Short, Drama, Romance",Martin Horlacher,Martin Horlacher
Unsung Heroes,Announced,,,,"Documentary, Biography",Martin Horlacher,Martin Horlacher
Stanza IV: Deep In Earth,Post-production,,,15.0,"Short, Drama, Horror",Gianluigi Carella,"Gianluigi Carella, Kerrin Shinners"
Kung Fury 2,Post-production,,,,"Action, Comedy, Crime",David Sandberg,"Arnold Schwarzenegger, Michael Fassbender, Alexandra Shipp, Jorma Taccone"
Chop,,,,,"Drama, Sci-Fi",Jason Miller,
Amelia Shared,Announced,,,120.0,Drama,Deepak Chandra,"Harlene Hercules, Stephen Cunnington, Anna Ritchie"
America Changed Me,Announced,,,25.0,"Short, Adventure",Giorgi Akhalkatsi,"Anna Brjezovskaia, Ano Neparidze, Giorgi Akhalkatsi, Tamuna Kakhoidze"
Luton to Leicester,Announced,,,,"Adventure, Comedy",Flaminia Graziadei,"Olga Melnychenko, Jowita Sip"
A Photographic Memory,Post-production,,,,Documentary,Rachel Elizabeth Seed,"Henri Cartier-Bresson, Don McCullin, Rachel Elizabeth Seed, Bruce Davidson"
Arbite Macht Frei,Post-production,,,,Horror,Julien K. d'Arsyn,"Joelle Hélary, Pascal Haidant, Julien K. d'Arsyn, Jeremy Gudefin"
The Incursion,Announced,,,,"Crime, Drama, Thriller",Gary O'Toole,
Dead Orchids,Announced,,,,Drama,Christopher Alex Méndez,"Adam Garcia, Micah Obregon, Drake Malone, Enid Lopez"
10 Days in December,Pre-production,,,,Romance,Frank W. Kelly,"Grace Fitzgerald, Graeme Coughlan"
Reflections: Who Do You See?,Announced,,,15.0,"Short, Thriller",,
Total Devastation,Filming,,,,Comedy,,
Winter Retreat,Announced,,,,Comedy,Jack Aaron,"Louis Liu, Daniel Sehl, Jack Aaron, Matt Barron"
Round,Filming,,,90.0,"Animation, Action, Adventure",Akbar de Wighar,"Reshvakota Valentina, Shinta Hepburn, Boston Kintpus, Chuckill"
Autrement,Post-production,,,60.0,Documentary,Jose Luis Aranda Nucamendi,
The Life We Chose,Announced,,,90.0,Drama,Bailee Watters,Bailee Watters
Hollywood's Most Wanted,Announced,,,,Comedy,,"Charley Boon, Romika Annabell, Felipe Osorio, Dalmatian Chloe"
KonTiki Project,Filming,,,,"Documentary, Biography, History",Beatrice Barberis,"Pasquale Barile, Maria Longhena, Ramona Melli, Stefania Zampetti"
Anja,Completed,,,,"Crime, Drama, Mystery",Pablo Benedetti,"Roberto Caccavo, Larthia Galli Nannini, Désirée Giorgetti, Samuele Batistoni"
A Skeptical Marriage,Announced,,,168.0,Drama,Joel Shelton,
Thursday,Post-production,,,,"Comedy, Romance",Autumn Gieb,"Marcelle Bowman, Josh Jones, Ariel Holmes, Susan Prosoco"
Clockwise,,,,,"Fantasy, History, Sci-Fi",Christopher Downie,"Sanjeev Kohli, Ryan James, Stephanie Price, Mark Frost"
Cooker,Post-production,,,88.0,Sci-Fi,Bryan L. Tucker,"Brad Havens, Arlan Godthaab, Shannon Muchow, Ryan Bruce"
50 Hours,Announced,,,,Drama,Kevin J. O'Neill,
The Hated Eight,Announced,,,,Horror,Sean Weathers,"Sean Weathers, Sara Rosenberg"
The Bizarre Murder of Mr Tusker,Post-production,,,75.0,"Mystery, Sci-Fi, Thriller",Tushar Raheja,"Niharika Lyra Dutt, Victor Banerjee, Himanshu Kohli, Yogendra Tiku"
"Her, on the Inside",Announced,,,,"Comedy, Drama",,Wendy Graham
Beyond the Living,Post-production,,,,Horror,William Hoppins,"Devin McGee, Kristi Ray, Matt Gold, Justin Rose"
The Visitor,,,,,"Short, Drama",Alethea Delmage,"Erica Everett, Stephen Mackenzie Brown, Anthony Russell, Kristal Renwick"
Static,,,,80.0,"Sci-Fi, Thriller",Adam Jeal,
Project August,Announced,,,,"Short, Horror",Curt Pennington,"Derrick Gilliam, Melissa O'Brien, April Washko, Michael Tremblay"
Go to Sleep,Announced,,,,"Drama, Thriller",,
Gorgon,Announced,,,122.0,"Action, Adventure, Fantasy",,Claire Beals
Attack of the B.I.M.B.O.S,Filming,,,,"Action, Horror, Sci-Fi",Don Richardson,"Candace Kita, Max Wasa, Chanel Ryan, Doug Jeffery"
Still Here,,,,99.0,Drama,Vlad Feier,"Johnny Whitworth, Zazie Beetz, Afton Williamson, Maurice McRae"
Hector,Announced,,,,Drama,,
Love Food,Announced,,,15.0,"Short, Romance",Elcid Asaei,
Film Crazy,Announced,,,,"Sci-Fi, Thriller",,"Adrian Tofei, Duru Yücel-Tofei"
Nicholas of Myra: The Story of Saint Nicholas - Part II,Announced,,,,"Drama, Family, History",Gerald Hartke,"Matthew Mesler, Robert Vincent Jones, Jamie Elvey, James Fauvell"
Beyond the Dreamcatcher,Post-production,,,85.0,"Comedy, Drama, Horror",Daniel F. Lovetere,"Buck Biestek, Francesca Shipsey, Kateri DeMartino, Louise Hawko"
Nunca Fomos Modernos,Post-production,,,,"Short, Biography, Drama",Emiliano Cunha,"Mateus Almada, Emiliano Cunha, Andrea Huls, Alba Seoane"
7000 Miles,Post-production,,,,Documentary,Nausheen Ishtiaq-Chen,"David Serero, Mary-Kate Mahaney, Brandon Ballone, Sheema Kermani"
Punainen Kohina,Completed,,,,"Drama, Thriller",Sami Pöyry,"Jari Manninen, Roope Olenius, Veera W. Vilo, Jere Saarela"
Vidicbo,Announced,,,90.0,Sci-Fi,,"Tony Curtis Blondell, Nafisa Ford"
Nicholas of Myra: The Story of Saint Nicholas,Post-production,,,,"Drama, Family, History",Gerald Hartke,"Matthew Mesler, Michael Dentico, Jamie Elvey, Norm Sham"
Guy Parker: Murder at Midnight,Announced,,,,Short,Don Sweet,"Larry Mihlon, Ronald E. Giles, Rachel Rodgers, Raquel Palmer"
Estel: The Making of a King,Post-production,,Not Rated,,"Adventure, Drama, Fantasy",Isaac Stitt,"Johnathon Krautkramer, Kurt Krauss, Isaiah McCormick, Hannah McCormick"
Lives of Bernard Herrmann,Filming,,,,Documentary,Brandon Brown,"Alec Baldwin, Larry Cohen, Matthew Bourne, Pearl Kaufman"
Iniquitous,,,,,"Drama, Thriller",Brenton Foale,"David Daradan, Cris Cochrane, Kieran Cochrane, Chloe Guy"
I See God in My Cat's Face,Announced,,,,"Animation, Short, Comedy",Martin Horlacher,Martin Horlacher
Whispers of Carcosa,Announced,,,,"Short, Horror, Mystery",Pete Yagmin,
Dark Side of the Mountain,Completed,,,,Documentary,Eric Walter,"Keith Reinhard, Tom Young, Astrid Reinhard, Tiffany Fraser"
Devotion,,,PG,116.0,"Action, Romance",,"Taylor Dooley, Tom Sizemore, John Amos, Kevin Sorbo"
Mindcraft,Post-production,,,94.0,"Adventure, Fantasy, Music",Jonathan Essa,"Sierra Collins, Scott Anthony Gould, Jerome Lisk, Essi Auguste Virtanen"
PowerStache,Announced,,,45.0,Drama,Jordan Squibb,"Christopher Rowley, Jim Owens, Cortney Wiggins, Barclay de Wet"
Two Red Eyes,Pre-production,,,,Horror,Austin Cochran,"Josh Dahlen, Austin Cochran, Melissa Hammen"
Timber,Post-production,,,15.0,"Short, Comedy, Drama",,"Ruben van Weelden, Agnesz Anna Hoekstra, Willem Verlijsdonk, Miralda Akkermans"
Circle of Deceit,Announced,,,,"Action, Mystery, Thriller",,"Lynne Alana Delaney, Ruben Roberto Gomez"
Sinner's Bible,Announced,,,,Drama,Joseph Chastain,"Aaron Aguilera, Mary Dallas, Marcus Bradford, Nicholas Jarnot"
Their Way,Announced,,,,"Biography, Comedy, Drama",,
Haeger's Pass,Filming,,,,Horror,Nicholas Ziolkowski,"Sergio Mora, Zim Campbell, Casey Russell, Colleen Sellers"
Beautiful Raw,Post-production,,,,Documentary,Yasmin Mistry,
Wait Till Monday,Completed,,,,"Short, Drama",Yvette Dossou,"Andy Brosseau, Rachael Olsem, Junichi Yanagita, Le Lien"
The Shadow Man,Announced,,,,"Adventure, Mystery, Thriller",Christopher Presswell,
I Like the Sound of My Own Voice,Announced,,,,"Documentary, Biography",Martin Horlacher,"Stephen Hawking, Roger Ebert, Martin Horlacher"
Ladder of Philosophy,Announced,,,,"Documentary, History",Martin Horlacher,Martin Horlacher
The Great Illusion,Completed,,PG-13,13.0,"Short, Drama, Romance",Sergey Ovsepyan,"Levon Meloyan, Arev Hakobian, Armine Andreasyan"
Angels & Gasmasks,Post-production,,,,Sci-Fi,Caesar Crawford,"Jon Hoffman, Jeri Hoffman, Stephanie Barrios, Amber Baque"
